STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
0.0,2009,0.0,0,0,2,0,3,0,5,0,5
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,5,0,8,1,13,1,14
0.0,2010,0.0,0,0,0,0,1,0,1,0,1
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,1,0,1,0,1
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,1,0,1,0,1
0.0,2010,0.0,0,0,0,0,4,0,4,0,4
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,4,0,4,0,4
0.0,2010,0.0,0,0,0,0,2,0,2,0,2
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,3,0,5,0,8,0,8
0.0,2010,0.0,0,0,1,0,6,0,7,0,7
0.0,2010,0.0,2,0,5,0,12,0,19,0,19
0.0,2010,0.0,0,0,1,0,1,0,2,0,2
0.0,2010,0.0,2,0,4,0,11,0,17,0,17
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,1,0,1,0,1
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,1,0,1,0,1
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,1,0,1,0,2,0,2
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,2,0,10,0,34,0,46,0,46
