Area_Name,Year,EPC_Cases_Cases_Acquitted,EPC_Cases_Cases_Convicted,EPC_Cases_Cases_Pending_for_Trial,EPC_Cases_Registered,EPC_Cases_Trial_Completed,EPC_Escapees_Re_Arrested_from_Lockup,EPC_Escapees_Re_Arrested_from_Others,EPC_FR_Submitted,EPC_Persons_Awarded_more_than_3_Years_Imprisonment,EPC_Persons_Awarded_upto_3_Years_Imprisonment,EPC_Persons_Cases_Acquitted,EPC_Persons_Cases_Convicted,EPC_Persons_Cases_Pending_for_Trial,EPC_Persons_Chargesheeted_for_Escape,EPC_Persons_Escaped,EPC_Persons_Escaped_from_Lockup,EPC_Persons_Escaped_Outside_the_Lockup,EPC_Persons_Escaped_Total,EPC_Persons_Trial_Completed
Goa,2002,,1.0,,2.0,1.0,,1.0,,,1.0,,1.0,,1.0,2.0,,2.0,2.0,1.0
Gujarat,2002,1.0,1.0,32.0,53.0,2.0,9.0,32.0,12.0,0.0,3.0,1.0,1.0,32.0,40.0,58.0,8.0,50.0,58.0,2.0
Himachal Pradesh,2002,0.0,1.0,5.0,13.0,1.0,3.0,5.0,7.0,0.0,1.0,0.0,1.0,6.0,6.0,14.0,3.0,11.0,14.0,1.0
Puducherry,2002,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0
West Bengal,2002,0.0,1.0,16.0,21.0,1.0,4.0,9.0,4.0,0.0,1.0,0.0,1.0,16.0,13.0,23.0,5.0,18.0,23.0,1.0
Bihar,2003,4.0,1.0,25.0,120.0,5.0,28.0,38.0,3.0,1.0,2.0,6.0,1.0,40.0,70.0,167.0,58.0,109.0,167.0,7.0
Gujarat,2003,1.0,1.0,35.0,64.0,2.0,18.0,36.0,19.0,1.0,10.0,3.0,1.0,42.0,51.0,80.0,28.0,52.0,80.0,4.0
Odisha,2003,0.0,1.0,17.0,52.0,1.0,18.0,32.0,8.0,0.0,0.0,236.0,53.0,9114.0,55.0,78.0,23.0,55.0,78.0,289.0
West Bengal,2003,0.0,1.0,12.0,14.0,1.0,2.0,11.0,1.0,0.0,1.0,0.0,1.0,12.0,12.0,14.0,3.0,11.0,14.0,1.0
Karnataka,2004,1.0,1.0,7.0,18.0,2.0,3.0,8.0,9.0,0.0,1.0,1.0,1.0,9.0,11.0,21.0,3.0,18.0,21.0,2.0
Kerala,2004,5.0,1.0,25.0,45.0,6.0,5.0,28.0,10.0,,1.0,5.0,1.0,26.0,31.0,46.0,6.0,40.0,46.0,6.0
Punjab,2004,2.0,1.0,33.0,80.0,3.0,9.0,31.0,23.0,0.0,0.0,2.0,1.0,37.0,35.0,86.0,11.0,75.0,86.0,3.0
Bihar,2005,5.0,1.0,9.0,96.0,6.0,15.0,17.0,15.0,0.0,0.0,8.0,4.0,9.0,23.0,118.0,23.0,95.0,118.0,12.0
Punjab,2005,0.0,1.0,36.0,82.0,1.0,8.0,36.0,34.0,0.0,6.0,0.0,4.0,42.0,47.0,91.0,11.0,80.0,91.0,4.0
Rajasthan,2005,,1.0,75.0,89.0,1.0,17.0,72.0,5.0,,,,1.0,88.0,89.0,104.0,19.0,85.0,104.0,1.0
West Bengal,2005,0.0,1.0,30.0,59.0,1.0,5.0,29.0,0.0,0.0,1.0,0.0,1.0,30.0,35.0,67.0,6.0,61.0,67.0,1.0
Chandigarh,2006,0.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0
Goa,2006,,1.0,3.0,6.0,1.0,,4.0,1.0,,1.0,,1.0,3.0,4.0,6.0,,6.0,6.0,1.0
Meghalaya,2006,0.0,1.0,5.0,9.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,11.0,3.0,8.0,11.0,0.0
Rajasthan,2006,,1.0,86.0,99.0,1.0,14.0,73.0,2.0,,,,1.0,86.0,87.0,109.0,16.0,93.0,109.0,1.0
Odisha,2007,2.0,1.0,16.0,43.0,3.0,14.0,10.0,9.0,0.0,1.0,2.0,1.0,16.0,8.0,47.0,24.0,23.0,47.0,3.0
Delhi,2008,0.0,1.0,6.0,8.0,1.0,0.0,11.0,7.0,0.0,1.0,0.0,1.0,10.0,11.0,13.0,0.0,13.0,13.0,1.0
Goa,2008,,1.0,5.0,6.0,1.0,,5.0,,,1.0,,1.0,5.0,4.0,6.0,,6.0,6.0,1.0
Karnataka,2008,0.0,1.0,15.0,20.0,1.0,3.0,23.0,8.0,0.0,1.0,0.0,1.0,26.0,27.0,35.0,1.0,34.0,35.0,1.0
Rajasthan,2008,,1.0,99.0,126.0,1.0,9.0,105.0,4.0,,1.0,,1.0,113.0,114.0,142.0,9.0,133.0,142.0,1.0
Bihar,2009,0.0,1.0,11.0,72.0,1.0,23.0,31.0,9.0,0.0,0.0,0.0,1.0,14.0,53.0,83.0,24.0,59.0,83.0,1.0
Delhi,2009,,1.0,7.0,14.0,1.0,0.0,12.0,8.0,,1.0,,1.0,11.0,12.0,16.0,,16.0,16.0,1.0
Karnataka,2009,0.0,1.0,11.0,23.0,1.0,4.0,14.0,3.0,0.0,1.0,0.0,1.0,14.0,18.0,35.0,4.0,31.0,35.0,1.0
Jharkhand,2010,0.0,1.0,12.0,24.0,1.0,7.0,7.0,4.0,0.0,0.0,0.0,1.0,8.0,7.0,29.0,14.0,15.0,29.0,1.0
Karnataka,2010,0.0,1.0,12.0,26.0,1.0,1.0,16.0,9.0,0.0,1.0,0.0,1.0,15.0,14.0,25.0,2.0,23.0,25.0,1.0
Mizoram,2010,0.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,3.0,1.0
Sikkim,2010,,1.0,,4.0,1.0,5.0,2.0,3.0,0.0,0.0,,1.0,,11.0,11.0,9.0,2.0,11.0,1.0
West Bengal,2010,1.0,1.0,3.0,32.0,2.0,0.0,5.0,9.0,1.0,1.0,1.0,1.0,3.0,5.0,38.0,3.0,35.0,38.0,2.0
Arunachal Pradesh,2001,0.0,0.0,0.0,11.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,14.0,4.0,18.0,0.0
Bihar,2001,3.0,0.0,51.0,104.0,3.0,24.0,31.0,6.0,0.0,0.0,3.0,0.0,40.0,95.0,133.0,34.0,99.0,133.0,3.0
Chandigarh,2001,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,5.0,5.0,0.0
Jammu & Kashmir,2001,0.0,0.0,9.0,13.0,0.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0,9.0,9.0,14.0,6.0,8.0,14.0,0.0
Jharkhand,2001,2.0,0.0,13.0,40.0,2.0,24.0,15.0,7.0,0.0,0.0,2.0,0.0,21.0,39.0,75.0,40.0,35.0,75.0,2.0
West Bengal,2001,1.0,0.0,22.0,35.0,1.0,8.0,2.0,3.0,0.0,0.0,1.0,0.0,25.0,26.0,38.0,5.0,33.0,38.0,1.0
Chandigarh,2002,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0
Daman & Diu,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2002,0.0,0.0,17.0,21.0,0.0,5.0,28.0,6.0,0.0,0.0,0.0,0.0,29.0,28.0,36.0,2.0,34.0,36.0,0.0
Nagaland,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,2002,0.0,0.0,44.0,61.0,0.0,12.0,41.0,4.0,0.0,0.0,0.0,0.0,44.0,44.0,74.0,20.0,54.0,74.0,0.0
Arunachal Pradesh,2003,0.0,0.0,0.0,8.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,2.0,25.0,0.0
Chandigarh,2003,1.0,0.0,5.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,5.0,0.0,5.0,5.0,1.0
Daman & Diu,2003,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0
Delhi,2003,1.0,0.0,0.0,25.0,1.0,0.0,21.0,14.0,0.0,0.0,1.0,0.0,0.0,19.0,26.0,1.0,25.0,26.0,1.0
Jammu & Kashmir,2003,0.0,0.0,8.0,5.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,5.0,2.0,3.0,5.0,0.0
Jharkhand,2003,0.0,0.0,7.0,15.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,8.0,10.0,17.0,2.0,15.0,17.0,0.0
Karnataka,2003,0.0,0.0,11.0,15.0,0.0,1.0,13.0,10.0,0.0,0.0,0.0,0.0,14.0,10.0,19.0,1.0,18.0,19.0,0.0
Meghalaya,2003,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,1.0,8.0,9.0,0.0
Nagaland,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttarakhand,2003,0.0,0.0,9.0,13.0,0.0,0.0,6.0,4.0,,0.0,0.0,0.0,9.0,9.0,13.0,0.0,13.0,13.0,0.0
Arunachal Pradesh,2004,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,8.0,0.0
Bihar,2004,4.0,0.0,10.0,112.0,4.0,25.0,21.0,4.0,0.0,0.0,4.0,0.0,11.0,47.0,156.0,52.0,104.0,156.0,4.0
Chandigarh,2004,0.0,0.0,6.0,6.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,2.0,5.0,7.0,0.0
Gujarat,2004,1.0,0.0,51.0,73.0,1.0,9.0,39.0,18.0,0.0,0.0,2.0,0.0,92.0,58.0,88.0,14.0,74.0,88.0,2.0
Manipur,2004,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Meghalaya,2004,0.0,0.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,7.0,8.0,0.0
Nagaland,2004,0.0,0.0,1.0,1.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,6.0,6.0,0.0
Uttarakhand,2004,0.0,0.0,9.0,9.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,3.0,7.0,10.0,0.0
Arunachal Pradesh,2005,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0
Chandigarh,2005,0.0,0.0,4.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,5.0,5.0,0.0
Gujarat,2005,0.0,0.0,44.0,71.0,0.0,10.0,36.0,16.0,0.0,0.0,0.0,0.0,73.0,50.0,76.0,5.0,71.0,76.0,0.0
Jammu & Kashmir,2005,0.0,0.0,7.0,12.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,7.0,13.0,7.0,6.0,13.0,0.0
Manipur,2005,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0
Meghalaya,2005,0.0,0.0,1.0,7.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,7.0,7.0,0.0
Mizoram,2005,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0
